Date,Price,Open,High,Low,Vol.,Change %
02/24/2014,"83,000.00","82,500.00","83,000.00","82,500.00",197.08K,0.61%
02/21/2014,"82,500.00","83,000.00","83,500.00","82,000.00",259.12K,0.00%
02/20/2014,"82,500.00","83,500.00","85,500.00","81,500.00",969.09K,-0.60%
02/19/2014,"83,000.00","84,000.00","84,000.00","82,000.00",385.94K,0.00%
02/18/2014,"83,000.00","82,500.00","83,500.00","82,500.00",479.18K,0.61%
02/17/2014,"82,500.00","83,500.00","83,500.00","82,500.00",276.29K,-1.20%
02/14/2014,"83,500.00","84,000.00","85,000.00","82,500.00",637.25K,1.21%
02/13/2014,"82,500.00","79,500.00","82,500.00","79,500.00",761.60K,4.43%
02/12/2014,"79,000.00","76,500.00","79,000.00","76,500.00",590.29K,3.95%
02/11/2014,"76,000.00","77,000.00","78,000.00","75,500.00",535.92K,0.00%
02/10/2014,"76,000.00","76,500.00","76,500.00","75,500.00",211.43K,0.00%
02/07/2014,"76,000.00","78,000.00","78,000.00","76,000.00",228.24K,-1.30%
02/06/2014,"77,000.00","77,500.00","78,000.00","76,500.00",281.72K,0.00%
01/27/2014,"77,000.00","80,000.00","80,000.00","77,000.00",324.22K,-2.53%
01/24/2014,"79,000.00","76,000.00","79,000.00","75,500.00",703.76K,4.64%
01/23/2014,"75,500.00","76,000.00","77,000.00","75,500.00",242.50K,0.67%
01/22/2014,"75,000.00","77,500.00","78,500.00","75,000.00",555.21K,-2.60%
01/21/2014,"77,000.00","77,000.00","78,000.00","75,500.00",411.24K,-0.65%
01/20/2014,"77,500.00","77,500.00","79,000.00","76,500.00",571.23K,0.65%
01/17/2014,"77,000.00","77,500.00","79,500.00","77,000.00",1.33M,0.00%
01/16/2014,"77,000.00","74,500.00","77,500.00","74,500.00",1.95M,4.76%
01/15/2014,"73,500.00","71,500.00","73,500.00","71,000.00",1.04M,2.80%
01/14/2014,"71,500.00","72,000.00","72,500.00","71,500.00",530.71K,-0.69%
01/13/2014,"72,000.00","70,000.00","72,000.00","70,000.00",702.93K,3.60%
01/10/2014,"69,500.00","68,500.00","71,000.00","68,500.00",1.16M,2.21%
01/09/2014,"68,000.00","67,500.00","68,500.00","67,500.00",336.88K,0.74%
01/08/2014,"67,500.00","67,500.00","67,500.00","66,500.00",181.34K,0.75%
01/07/2014,"67,000.00","67,000.00","67,500.00","66,500.00",153.50K,0.00%
01/06/2014,"67,000.00","66,000.00","67,000.00","66,000.00",176.62K,1.52%
01/03/2014,"66,000.00","66,500.00","66,500.00","65,500.00",256.97K,-0.75%
01/02/2014,"66,500.00","66,500.00","66,500.00","65,500.00",229.95K,0.00%
12/31/2013,"66,500.00","66,000.00","67,000.00","66,000.00",340.96K,0.00%
12/30/2013,"66,500.00","67,000.00","67,500.00","66,500.00",401.08K,-0.75%
12/27/2013,"67,000.00","67,000.00","68,500.00","67,000.00",880.61K,0.75%
12/26/2013,"66,500.00","65,000.00","66,500.00","64,500.00",519.70K,2.31%
12/25/2013,"65,000.00","65,500.00","65,500.00","64,500.00",126.61K,0.00%
12/24/2013,"65,000.00","65,500.00","66,000.00","65,000.00",287.77K,-0.76%
12/23/2013,"65,500.00","65,000.00","65,500.00","64,500.00",395.29K,1.55%
12/20/2013,"64,500.00","64,500.00","65,000.00","64,000.00",270.44K,0.78%
12/19/2013,"64,000.00","64,500.00","65,000.00","64,000.00",632.37K,0.00%
12/18/2013,"64,000.00","64,500.00","64,500.00","64,000.00",184.93K,-0.78%
12/17/2013,"64,500.00","64,500.00","64,500.00","64,000.00",111.89K,0.00%
12/16/2013,"64,500.00","64,000.00","64,500.00","64,000.00",120.76K,0.00%
12/13/2013,"64,500.00","64,500.00","65,000.00","64,000.00",170.87K,0.00%
12/12/2013,"64,500.00","64,000.00","64,500.00","64,000.00",138.02K,0.78%
12/11/2013,"64,000.00","65,000.00","65,000.00","64,000.00",302.79K,-1.54%
12/10/2013,"65,000.00","64,500.00","65,500.00","64,500.00",233.00K,0.78%
12/09/2013,"64,500.00","65,500.00","65,500.00","64,500.00",245.56K,-0.77%
12/06/2013,"65,000.00","65,500.00","65,500.00","64,500.00",136.95K,0.00%
12/05/2013,"65,000.00","65,000.00","65,500.00","64,500.00",304.84K,0.00%
12/04/2013,"65,000.00","65,000.00","66,000.00","65,000.00",580.16K,0.00%
12/03/2013,"65,000.00","65,000.00","66,000.00","64,500.00",537.85K,0.00%
12/02/2013,"65,000.00","65,000.00","65,500.00","64,500.00",477.96K,1.56%
11/29/2013,"64,000.00","64,500.00","64,500.00","64,000.00",269.54K,0.00%
